id,predicted
0,18
1,10
2,32
3,21
4,22
5,42
6,38
7,14
8,24
9,34
10,15
11,11
12,36
13,18
14,16
15,4
16,22
17,20
18,10
19,7
20,12
21,12
22,14
23,27
24,121
25,46
26,28
27,16
28,16
29,16
30,9
31,11
32,37
33,8
34,27
35,34
36,63
37,13
38,10
39,76
40,10
41,16
42,72
43,25
44,11
45,26
46,79
47,15
48,23
49,17
50,66
51,32
52,22
53,84
54,9
55,89
56,17
57,15
58,21
59,6
60,25
61,16
62,76
63,38
64,14
65,382
66,108
67,14
68,31
69,36
70,16
71,79
72,422
73,6
74,26
75,26
76,9
77,15
78,28
79,21
80,16
81,13
82,33
83,17
84,19
85,12
86,56
87,69
88,11
89,20
90,22
91,267
92,9
93,33
94,80
95,67
96,6
97,22
98,21
99,14
100,10
101,29
102,23
103,13
104,103
105,70
106,19
107,6
108,9
109,23
110,17
111,9
112,20
113,18
114,35
115,12
116,7
117,7
118,12
119,11
120,65
121,17
122,25
123,48
124,5
125,11
126,63
127,10
128,17
129,64
130,12
131,3
132,22
133,137
134,15
135,14
136,9
137,20
138,25
139,15
140,20
141,20
142,22
143,12
144,6
145,26
146,14
147,18
148,13
149,68
150,9
151,175
152,22
153,14
154,160
155,6
156,16
157,23
158,21
159,10
160,41
161,32
162,10
163,57
164,11
165,46
166,15
167,26
168,53
169,13
170,35
171,180
172,90
173,83
174,11
175,27
176,8
177,14
178,39
179,10
180,10
181,45
182,122
183,3
184,13
185,68
186,10
187,6
188,32
189,20
190,8
191,30
192,6
193,13
194,112
195,18
196,15
197,16
198,6
199,19
200,16
201,22
202,11
203,23
204,7
205,34
206,8
207,36
208,182
209,52
210,13
211,40
212,29
213,22
214,20
215,8
216,111
217,34
218,6
219,9
220,26
221,6
222,43
223,9
224,16
225,17
226,27
227,13
228,12
229,10
230,5
231,15
232,41
233,18
234,10
235,5
236,10
237,20
238,76
239,83
240,12
241,17
242,13
243,9
244,25
245,17
246,34
247,12
248,12
249,122
250,6
251,14
252,53
253,45
254,94
255,42
256,49
257,64
258,4
259,37
260,12
261,21
262,154
263,31
264,6
265,48
266,41
267,46
268,12
269,25
270,33
271,7
272,86
273,33
274,13
275,45
276,17
277,30
278,21
279,24
280,20
281,25
282,26
283,40
284,32
285,10
286,23
287,10
288,27
289,78
290,18
291,349
292,10
293,8
294,38
295,51
296,23
297,69
298,11
299,16
300,151
301,22
302,49
303,11
304,31
305,14
306,60
307,14
308,9
309,74
310,54
311,17
312,16
313,6
314,30
