id,predicted
0,31
1,15
2,62
3,16
4,15
5,5
6,3
7,15
8,10
9,11
10,118
11,7
12,25
13,12
14,23
15,29
16,14
17,20
18,4
19,50
20,14
21,50
22,18
23,29
24,3
25,27
26,41
27,17
28,12
29,31
30,24
31,11
32,27
33,11
34,19
35,19
36,26
37,11
38,76
39,22
40,21
41,44
42,14
43,10
44,25
45,6
46,34
47,12
48,5
49,28
50,29
51,28
52,13
53,35
54,14
55,15
56,19
57,64
58,30
59,3
60,13
61,5
62,20
63,27
64,886
65,41
66,30
67,36
68,28
69,18
70,57
71,3
72,20
73,21
74,4
75,9
76,23
77,26
78,8
79,26
80,14
81,9
82,24
83,27
84,20
85,20
86,27
87,10
88,22
89,14
90,38
91,21
92,18
93,12
94,32
95,13
96,5
97,29
98,17
99,12
100,61
101,71
102,3
103,20
104,18
105,10
106,7
107,23
108,57
109,149
110,53
111,28
112,126
113,7
114,21
115,15
116,29
117,26
118,21
119,20
120,32
121,52
122,32
123,62
124,27
125,24
126,28
127,9
128,25
129,13
130,19
131,30
132,63
133,9
134,16
135,14
136,12
137,24
138,19
139,19
140,9
141,12
142,25
143,7
144,22
145,111
146,65
147,25
148,6
149,13
150,12
151,11
152,5
153,13
154,7
155,21
156,10
157,29
158,14
159,21
160,25
161,4
162,42
163,12
164,45
165,6
166,19
167,28
168,11
169,21
170,27
171,14
172,30
173,8
174,15
175,28
176,99
177,10
178,21
179,3
180,5
181,8
182,16
183,36
184,11
185,28
186,34
187,30
188,23
189,12
190,41
191,12
192,3
193,16
194,26
195,12
196,38
197,30
198,34
199,22
200,11
201,3
202,11
203,65
204,30
205,12
206,26
207,34
208,15
209,23
210,8
211,11
212,5
213,9
214,8
215,19
216,8
217,11
218,8
219,119
220,23
221,42
222,32
223,36
224,5
225,21
226,26
227,29
228,3
229,12
230,62
231,21
232,21
233,16
234,28
235,33
236,13
237,38
238,64
239,61
240,24
241,65
242,16
243,24
244,24
245,10
246,14
247,15
248,12
249,140
250,20
251,17
252,30
253,10
254,20
255,16
256,35
257,10
258,19
259,10
260,12
261,30
262,53
263,17
264,24
265,3
266,73
267,25
268,20
269,15
270,31
271,16
272,141
273,7
274,18
275,20
276,30
277,9
278,139
279,76
280,54
281,30
282,9
283,13
284,13
285,40
286,13
287,15
288,12
289,16
290,10
291,36
292,25
293,24
294,35
295,9
296,44
297,118
298,10
299,16
300,11
301,3
302,10
303,8
304,36
305,22
306,17
307,48
308,77
309,10
310,25
311,46
312,16
313,38
314,11
315,33
316,60
317,5
318,4
319,23
320,5
321,23
322,53
323,24
324,18
325,28
326,23
327,11
328,29
329,48
330,28
331,43
332,30
333,19
334,10
335,21
336,28
337,19
338,27
339,10
340,15
341,13
342,47
343,87
344,37
345,23
346,36
347,32
348,36
349,12
350,12
351,4
352,8
353,25
354,18
355,14
356,16
357,33
358,54
359,50
360,13
361,14
362,9
363,75
364,25
365,19
366,30
367,127
368,16
369,6
370,10
371,87
372,11
373,11
374,3
375,46
376,8
377,28
378,4
379,23
380,10
381,32
382,14
383,35
384,28
385,21
386,12
387,24
388,23
389,26
390,42
391,4
392,29
393,24
394,61
395,18
396,27
397,78
398,8
399,12
400,21
401,6
402,11
403,22
404,15
405,4
406,43
407,25
408,13
409,88
410,4
411,3
412,15
413,16
414,27
415,1
416,5
417,94
418,14
419,30
420,12
421,8
422,19
423,80
424,9
425,14
426,13
427,33
428,3
429,28
430,14
431,9
432,15
433,34
434,9
435,54
436,7
437,148
438,23
439,13
440,48
441,27
442,8
443,27
444,19
445,29
446,38
447,7
448,15
449,29
450,11
451,76
452,10
453,12
454,22
455,22
456,9
457,13
458,14
459,6
460,31
461,6
462,15
463,25
464,12
465,48
466,12
467,10
468,12
469,9
470,14
471,12
472,22
473,10
474,28
475,28
476,7
477,10
478,31
479,10
480,28
481,27
482,33
483,12
484,16
485,24
486,27
487,7
488,42
489,30
490,9
491,7
492,26
493,10
494,7
495,12
496,7
497,5
498,33
499,17
500,6
501,31
502,11
503,4
504,13
505,25
506,24
507,40
508,28
509,65
510,77
511,13
512,54
513,10
514,54
515,11
516,51
517,12
518,17
519,33
520,92
521,43
522,24
523,27
524,26
525,11
526,24
527,12
528,16
529,32
530,19
531,138
532,63
533,18
534,49
535,11
536,21
537,50
538,9
539,58
540,58
541,5
542,36
543,7
544,8
545,53
546,21
547,27
548,11
549,9
550,53
551,14
552,28
553,23
554,85
555,5
556,6
557,26
558,8
559,10
560,11
561,28
562,17
563,50
564,25
565,30
566,11
567,21
568,12
569,22
570,25
571,45
572,8
573,12
574,67
575,36
576,35
577,11
578,3
579,22
580,26
581,14
582,4
583,30
584,16
585,14
586,26
587,3
588,26
589,11
590,12
591,30
592,57
593,27
594,12
595,14
596,15
597,54
598,21
599,17
600,12
601,44
602,51
603,13
604,33
605,9
606,17
607,18
608,8
609,35
610,31
611,93
612,14
613,17
614,40
615,27
616,19
617,12
618,35
619,32
620,130
621,12
622,9
623,27
624,21
625,37
626,22
627,11
628,8
629,16
630,23
631,19
632,11
633,87
634,30
635,9
636,9
637,13
638,20
639,9
640,11
641,22
642,14
643,24
644,10
645,24
646,28
647,63
648,23
649,20
650,40
651,20
652,13
653,9
654,67
655,31
656,25
657,6
658,34
659,24
660,4
661,33
662,14
663,14
664,13
665,21
666,13
667,36
668,23
669,37
670,4
671,82
672,68
673,10
674,168
675,10
676,7
677,10
678,10
679,14
680,25
681,12
682,19
683,50
684,9
685,8
686,31
687,29
688,5
689,16
690,23
691,32
692,35
693,3
694,7
695,4
696,3
697,17
698,11
699,11
700,16
701,4
702,39
703,25
704,4
705,8
706,41
707,5
708,9
709,11
710,15
711,15
712,28
713,45
714,10
715,29
716,7
717,9
718,29
719,40
720,74
721,47
722,15
723,46
724,159
725,21
726,12
727,28
728,7
729,16
730,20
731,21
732,28
733,15
734,3
735,29
736,19
737,8
738,75
739,13
740,4
741,15
742,10
743,28
744,31
745,7
746,37
747,13
748,31
749,63
750,21
751,13
752,15
753,10
754,4
755,25
756,17
757,28
758,29
759,72
760,47
761,18
762,15
763,42
764,18
765,31
766,40
767,10
768,18
769,11
770,10
771,6
772,12
773,52
774,12
775,10
776,11
777,8
778,33
779,25
780,38
781,27
782,18
783,41
784,39
785,10
786,21
787,26
788,11
789,3
790,163
791,12
792,59
793,39
794,21
795,13
796,20
797,24
798,12
799,19
800,18
801,18
802,10
803,15
804,7
805,52
806,26
807,11
808,21
809,8
810,46
811,11
812,9
813,56
814,10
815,7
816,26
817,12
818,34
819,10
820,34
821,15
822,9
823,74
824,21
825,126
826,16
827,14
828,12
829,26
830,21
831,23
832,36
833,19
834,29
835,10
836,15
837,19
838,30
839,28
